calendar_month,commits,commits_with_allowed_hunks,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,repo,threshold_label,commit_ai_fraction
2022-10,20,6,6,0.2907407407407407,0.2530090466321593,django,medium,0.3
2022-11,20,12,11,0.4987870243791296,0.4431169498743963,django,medium,0.55
2022-12,20,7,5,0.2370967741935484,0.2263355057021926,django,medium,0.25
2023-01,20,5,4,0.1623638344226579,0.1924269099281694,django,medium,0.2
2023-02,20,9,8,0.385837922895358,0.3304471202447963,django,medium,0.4
2023-03,20,12,12,0.5374507446737461,0.5041023038320516,django,medium,0.6
2023-04,20,7,6,0.2842407660738714,0.2419839972650396,django,medium,0.3
2023-05,20,11,11,0.5108076563958918,0.4348142483808532,django,medium,0.55
2023-06,20,8,7,0.3081196581196581,0.2842269992863631,django,medium,0.35
2023-07,20,14,13,0.5754567307692308,0.5215133878120445,django,medium,0.65
2023-08,20,11,9,0.4375,0.4172209528027044,django,medium,0.45
2023-09,20,9,9,0.45,0.3622953505266322,django,medium,0.45
2023-10,20,7,5,0.2423341772151898,0.2406682318318541,django,medium,0.25
2023-11,20,5,5,0.2015424332425817,0.1662472757878322,django,medium,0.25
2023-12,20,6,5,0.2421686746987951,0.2154706734501913,django,medium,0.25
2024-01,20,11,10,0.4591742618156599,0.4624448262754758,django,medium,0.5
2024-02,20,7,6,0.3,0.2598541654883927,django,medium,0.3
2024-03,20,6,5,0.25,0.2207189000479004,django,medium,0.25
2024-04,20,7,6,0.3,0.2822445733290957,django,medium,0.3
2024-05,20,6,6,0.2802497773159145,0.2598088581035092,django,medium,0.3
2024-06,20,10,10,0.4531855981855981,0.3978544492974651,django,medium,0.5
2024-07,20,6,5,0.2441654107736301,0.2464667216034385,django,medium,0.25
2024-08,20,9,7,0.3287518853695325,0.3160377129383087,django,medium,0.35
2024-09,20,12,12,0.5754310344827587,0.4725751302943418,django,medium,0.6
2024-10,20,7,7,0.35,0.3106928273329585,django,medium,0.35
2024-11,20,9,9,0.4070488298829883,0.3692731164652866,django,medium,0.45
2024-12,20,10,9,0.4285773678307615,0.3914580030013703,django,medium,0.45
2025-01,20,11,10,0.4649064171122995,0.4171348104096797,django,medium,0.5
2025-02,20,6,6,0.2777777777777778,0.2194779845985716,django,medium,0.3
2025-03,20,10,9,0.3471937386569873,0.364205200946011,django,medium,0.45
2025-04,20,10,9,0.4293103448275862,0.3948219079995685,django,medium,0.45
2025-05,20,9,8,0.3671495983935743,0.327253188607092,django,medium,0.4
2025-06,20,13,12,0.568976076007326,0.506325614131548,django,medium,0.6
2025-07,20,8,8,0.3902166963510983,0.3341131612301853,django,medium,0.4
2025-08,20,4,4,0.1785714285714285,0.1549167986882216,django,medium,0.2
2025-09,20,6,5,0.2275862068965517,0.198461249912202,django,medium,0.25
2025-10,20,5,4,0.148405755711775,0.188759297659408,django,medium,0.2
2025-11,20,10,9,0.4166666666666667,0.383733375722712,django,medium,0.45
2025-12,20,7,5,0.2039402173913043,0.2235894289280766,django,medium,0.25
2021-01,20,7,6,0.3,0.284419589899556,elasticsearch,medium,0.3
2021-02,20,10,10,0.4897727272727272,0.4649280981063332,elasticsearch,medium,0.5
2021-03,20,4,4,0.1921875,0.1725320073678821,elasticsearch,medium,0.2
2021-04,20,9,8,0.4,0.3325130117951601,elasticsearch,medium,0.4
