calendar_month,commits,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,threshold_label,commit_ai_fraction
2021-01,60,15,0.238003562548319,0.2065853837161936,medium,0.25
2021-02,60,26,0.414579960294246,0.383204390591242,medium,0.4333333333333333
2021-03,60,18,0.2671708858355846,0.2507085168554207,medium,0.3
2021-04,60,21,0.3276985899456998,0.2908940335385417,medium,0.35
2021-05,60,29,0.4662466843501326,0.397112323406865,medium,0.4833333333333333
2021-06,60,17,0.2599929766483383,0.2412366909278238,medium,0.2833333333333333
2021-07,60,21,0.3346740541080163,0.2980390599459835,medium,0.35
2021-08,60,25,0.3692278379235426,0.338393012099221,medium,0.4166666666666667
2021-09,60,23,0.3270683166064614,0.3273843510870911,medium,0.3833333333333333
2021-10,60,17,0.2610383223405697,0.2398213582528684,medium,0.2833333333333333
2021-11,60,26,0.4120886147236095,0.3546483353167582,medium,0.4333333333333333
2021-12,60,26,0.4009607645183202,0.3384921905934026,medium,0.4333333333333333
2022-01,60,26,0.414228783571108,0.3592130798637992,medium,0.4333333333333333
2022-02,60,20,0.3001331094468349,0.2783637030660369,medium,0.3333333333333333
2022-03,60,24,0.3781466504602812,0.3487045391314544,medium,0.4
2022-04,60,24,0.3549029924877382,0.3121463065014641,medium,0.4
2022-05,60,30,0.4666581021780392,0.4098788337889091,medium,0.5
2022-06,60,21,0.3323269920044113,0.2836711991837601,medium,0.35
2022-07,60,29,0.4692543337989124,0.4267583835199662,medium,0.4833333333333333
2022-08,60,21,0.3443982720570972,0.2964121544926261,medium,0.35
2022-09,60,29,0.4704200366162906,0.4217341661220509,medium,0.4833333333333333
2022-10,60,25,0.3828955344158419,0.3528085190895613,medium,0.4166666666666667
2022-11,60,33,0.517164769855884,0.477493252476994,medium,0.55
2022-12,60,27,0.4334991723339068,0.3937359892036505,medium,0.45
2023-01,60,26,0.3986517417850291,0.3709946073943619,medium,0.4333333333333333
2023-02,60,32,0.4967674901481943,0.4562202904381532,medium,0.5333333333333333
2023-03,60,28,0.4251583630810114,0.4045646805126742,medium,0.4666666666666667
2023-04,60,23,0.3632873740058946,0.3375037230382,medium,0.3833333333333333
2023-05,60,31,0.4964476376020493,0.4270040840698122,medium,0.5166666666666667
2023-06,60,23,0.3448866474937835,0.3148538252548855,medium,0.3833333333333333
2023-07,60,32,0.4797217014499615,0.4612918775662003,medium,0.5333333333333333
2023-08,60,26,0.4193321822468103,0.4023267741133091,medium,0.4333333333333333
2023-09,60,31,0.4850166817156901,0.4257637307000256,medium,0.5166666666666667
2023-10,60,21,0.3307870557913767,0.3089110014484865,medium,0.35
2023-11,60,22,0.3388533917260218,0.3036465548457279,medium,0.3666666666666666
2023-12,60,18,0.2901598695721631,0.2713839377035444,medium,0.3
2024-01,60,33,0.5311125654962905,0.480469907923489,medium,0.55
2024-02,60,27,0.4314028999892874,0.3704222043963417,medium,0.45
2024-03,60,13,0.2166666666666666,0.1925747434069115,medium,0.2166666666666666
2024-04,60,26,0.4110613509192646,0.3552712099038069,medium,0.4333333333333333
2024-05,60,26,0.4059358122204213,0.3813197620577513,medium,0.4333333333333333
2024-06,60,27,0.3992255076132626,0.3696458590339502,medium,0.45
2024-07,60,22,0.3558639483096606,0.322472159271366,medium,0.3666666666666666
2024-08,60,25,0.3967516292905391,0.3668574634329797,medium,0.4166666666666667
2024-09,60,33,0.5246703666366328,0.4654481005920903,medium,0.55
2024-10,60,20,0.330147602645648,0.2999616310315767,medium,0.3333333333333333
2024-11,60,29,0.4517086035966524,0.4050037915548914,medium,0.4833333333333333
2024-12,60,22,0.3595257892769205,0.3206287047464132,medium,0.3666666666666666
2025-01,60,26,0.4116797321124406,0.3578002408612957,medium,0.4333333333333333
2025-02,60,21,0.3342592592592593,0.2679831370549884,medium,0.35
2025-03,60,20,0.2829893881564918,0.2871899030062622,medium,0.3333333333333333
2025-04,60,23,0.3590572714962836,0.3266487539828697,medium,0.3833333333333333
2025-05,60,24,0.3756436784570909,0.3383500203086709,medium,0.4
2025-06,60,28,0.4138578167227387,0.4012350282576861,medium,0.4666666666666667
2025-07,60,26,0.410375262420063,0.3794072876803545,medium,0.4333333333333333
2025-08,60,22,0.3471774687655712,0.3052494227875193,medium,0.3666666666666666
2025-09,60,26,0.402320077651406,0.3762727170286598,medium,0.4333333333333333
2025-10,60,19,0.2748618397084596,0.2698091183441685,medium,0.3166666666666666
2025-11,60,24,0.3811322177567139,0.3422790625382786,medium,0.4
2025-12,60,25,0.369616979902739,0.3386509433411516,medium,0.4166666666666667
