support,length_bucket,threshold,accuracy,balanced_accuracy,precision,recall,false_positive_rate,false_negative_rate,tp,tn,fp,fn
181,long,0.44999999999999996,0.9392265193370166,0.8879268879268879,0.9673202614379085,0.961038961038961,0.18518518518518517,0.03896103896103896,148,22,5,6
168,medium,0.44999999999999996,0.8869047619047619,0.7296008477569763,0.9391891891891891,0.9328859060402684,0.47368421052631576,0.06711409395973154,139,10,9,10
224,short,0.44999999999999996,0.7901785714285714,0.7498082086689681,0.8535031847133758,0.8481012658227848,0.3484848484848485,0.1518987341772152,134,43,23,24
264,very_short,0.44999999999999996,0.8257575757575758,0.8275624461670973,0.8938053097345132,0.7481481481481481,0.09302325581395349,0.2518518518518518,101,117,12,34
