calendar_month,commits,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,threshold_label,commit_ai_fraction
2016-07,1,0,0.0,0.0,high,0.0
2016-09,2,2,0.6649305555555556,0.8072386263261682,high,1.0
2016-10,1,1,1.0,0.8936072868730573,high,1.0
2017-04,1,1,0.6494845360824743,0.9343844908143831,high,1.0
2017-06,1,1,1.0,0.9699205045008519,high,1.0
2019-04,1,1,1.0,0.7348442633208941,high,1.0
2019-05,8,0,0.0,0.10822497278347537,high,0.0
2019-10,1,1,0.7830578512396694,0.8948315264867417,high,1.0
2020-01,1,0,0.0,0.25055558675022743,high,0.0
2020-02,1,1,1.0,0.9452395393388531,high,1.0
2020-03,1,0,0.0,0.0,high,0.0
2020-04,4,2,0.41242038216560506,0.4399404730718755,high,0.5
2020-05,1,1,0.625,0.8943218518424867,high,1.0
2020-06,3,2,0.4977242302543507,0.7207970402299607,high,0.6666666666666666
2020-07,1,0,0.0,0.0,high,0.0
2020-08,3,2,0.4615384615384615,0.5920368811695869,high,0.6666666666666666
2020-09,1,0,0.0,0.0,high,0.0
2020-10,3,2,0.5419501133786848,0.7268562074410516,high,0.6666666666666666
2020-11,10,7,0.5031278416611992,0.6073657278620214,high,0.7
2020-12,18,9,0.47915047915047915,0.5569725364050843,high,0.5
2021-01,180,51,0.26140713719772446,0.26039441709770417,high,0.2833333333333333
2021-02,180,72,0.3693884932706165,0.3565220944589809,high,0.4
2021-03,180,49,0.23926159719708712,0.2483517646314283,high,0.2722222222222222
2021-04,180,74,0.36419672453572355,0.3618667821555699,high,0.4111111111111111
2021-05,180,68,0.34897533464264313,0.33340569959185873,high,0.37777777777777777
2021-06,180,64,0.3206214114121673,0.3319168583915631,high,0.35555555555555557
2021-07,180,65,0.3413264340327956,0.33177202275330964,high,0.3611111111111111
2021-08,180,76,0.356777784240005,0.36719821311239076,high,0.4222222222222222
2021-09,180,76,0.366725406244881,0.37354247724149026,high,0.4222222222222222
2021-10,180,72,0.36358587394560377,0.3397650473415362,high,0.4
2021-11,180,66,0.3439960709352784,0.31014141994736055,high,0.36666666666666664
2021-12,180,68,0.3279178396883914,0.32531558582550546,high,0.37777777777777777
2022-01,180,72,0.3580078080585451,0.35849331337142515,high,0.4
2022-02,180,75,0.37834297366317515,0.36105249356294106,high,0.4166666666666667
2022-03,180,74,0.3825492639373318,0.36400801773355507,high,0.4111111111111111
2022-04,180,66,0.32369116510582646,0.3219593057457869,high,0.36666666666666664
2022-05,180,83,0.4137758035524139,0.39765698391617044,high,0.46111111111111114
2022-06,180,71,0.34350646225227516,0.3559916221213391,high,0.39444444444444443
2022-07,179,84,0.42914665722987033,0.41093773568172254,high,0.4692737430167598
2022-08,180,65,0.3309560782855047,0.31605542157032157,high,0.3611111111111111
2022-09,180,74,0.36769314226771665,0.3751422786872345,high,0.4111111111111111
2022-10,180,67,0.3308370860138077,0.3434943812319952,high,0.37222222222222223
2022-11,180,83,0.42674566787350393,0.40254749155288866,high,0.46111111111111114
2022-12,180,77,0.37654038395784284,0.38496041991120467,high,0.42777777777777776
2023-01,180,79,0.38781128573829293,0.38622451143411846,high,0.4388888888888889
2023-02,180,81,0.39144483086707793,0.39696600486470146,high,0.45
2023-03,180,79,0.3961010547486316,0.39765254641686676,high,0.4388888888888889
2023-04,180,75,0.3770390298431159,0.3709291141715486,high,0.4166666666666667
2023-05,180,78,0.39755835709330056,0.38293093389930744,high,0.43333333333333335
2023-06,180,79,0.3975672434461253,0.38330034503009924,high,0.4388888888888889
2023-07,180,97,0.480485684668675,0.4756109417024129,high,0.5388888888888889
2023-08,176,81,0.41763545037387656,0.40398507973435527,high,0.4602272727272727
2023-09,180,75,0.37804388172717723,0.3630815602836504,high,0.4166666666666667
2023-10,180,64,0.31591597388043285,0.31069064571296634,high,0.35555555555555557
2023-11,180,83,0.40860487339786594,0.401533008530459,high,0.46111111111111114
2023-12,180,71,0.3641783695425024,0.34707680721165113,high,0.39444444444444443
2024-01,180,79,0.4071348293952234,0.4003121680701262,high,0.4388888888888889
2024-02,180,74,0.37097942358837327,0.35792454661943207,high,0.4111111111111111
2024-03,180,55,0.2941447622111882,0.28057755666953504,high,0.3055555555555556
2024-04,179,68,0.34407455375927865,0.34852856113651964,high,0.37988826815642457
2024-05,180,64,0.31240197939860337,0.30431114963230904,high,0.35555555555555557
2024-06,180,68,0.3182354987638192,0.3285252795811713,high,0.37777777777777777
2024-07,180,71,0.3602430455757387,0.34891778750842206,high,0.39444444444444443
2024-08,180,74,0.37993692427258435,0.3808554821508711,high,0.4111111111111111
2024-09,180,81,0.4118661471675159,0.38774448319945953,high,0.45
2024-10,180,63,0.3176043757936826,0.31235482641681744,high,0.35
2024-11,180,71,0.35228122519219807,0.3368773765008796,high,0.39444444444444443
2024-12,180,66,0.3412407901416285,0.33155619630349775,high,0.36666666666666664
2025-01,180,80,0.4074508919608135,0.3942042681104348,high,0.4444444444444444
2025-02,180,68,0.3543709229660097,0.327720154066663,high,0.37777777777777777
2025-03,180,65,0.3073869301410179,0.32294823482036045,high,0.3611111111111111
2025-04,180,72,0.3649401045551941,0.3492255239638666,high,0.4
2025-05,180,71,0.34335975836948335,0.35720338194361756,high,0.39444444444444443
2025-06,180,83,0.39865599055625467,0.39567613338478574,high,0.46111111111111114
2025-07,180,76,0.38902471686702284,0.3854679754257258,high,0.4222222222222222
2025-08,180,65,0.32971849754349297,0.31372304643550597,high,0.3611111111111111
2025-09,180,69,0.33262802998952845,0.34844857016847003,high,0.38333333333333336
2025-10,180,66,0.30412892511377887,0.32253176043585424,high,0.36666666666666664
2025-11,180,67,0.343431782423071,0.32857902512246,high,0.37222222222222223
2025-12,179,76,0.38298380126637427,0.3724867006177212,high,0.4245810055865922
2016-07,1,0,0.0,0.0,low,0.0
2016-09,2,2,0.7760416666666667,0.8072386263261682,low,1.0
2016-10,1,1,1.0,0.8936072868730573,low,1.0
2017-04,1,1,0.6494845360824743,0.9343844908143831,low,1.0
2017-06,1,1,1.0,0.9699205045008519,low,1.0
2019-04,1,1,1.0,0.7348442633208941,low,1.0
2019-05,8,2,0.25,0.10822497278347537,low,0.25
